month,country,stock_code,description,total_quantity,total_revenue,num_transactions,num_customers
2009-12,Austria,21245,GREEN  SPOTTY PLATE,16,27.04,1,0
2009-12,Austria,21481,FAWN BLUE HOT WATER BOTTLE,6,17.7,1,0
2009-12,Austria,21482,MUSHROOM BLUE HOT WATER BOTTLE,6,17.7,1,0
2009-12,Austria,22061,LARGE CAKE STAND  HANGING STRAWBERY,2,19.9,1,0
2009-12,Austria,22067,CHOC TRUFFLE GOLD TRINKET POT,12,19.8,1,0
2009-12,Austria,22138,BAKING SET 9 PIECE RETROSPOT,3,14.85,1,0
2009-12,Austria,22172,METAL SHELF WITH RAIL,2,17,1,0
2009-12,Austria,22352,LUNCHBOX WITH CUTLERY RETROSPOT,6,15.3,1,0
2009-12,Austria,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,17.88,1,0
2009-12,Austria,37449,CERAMIC CAKE STAND + HANGING CAKES,2,19.9,1,0
2009-12,Austria,37503,TEA TIME CAKE STAND IN GIFT BOX,2,21.5,1,0
2009-12,Austria,48116,DOOR MAT MULTICOLOUR STRIPE,2,13.5,1,0
2009-12,Austria,48173C,DOOR MAT BLACK FLOCK,2,13.5,1,0
2009-12,Austria,72741,GRAND CHOCOLATECANDLE,27,39.15,1,0
2009-12,Austria,84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,12,45,1,0
2009-12,Austria,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,12,45,1,0
2009-12,Austria,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,12,45,1,0
2009-12,Austria,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,12,45,1,0
2009-12,Austria,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,12,71.4,1,0
2009-12,Austria,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,12,71.4,1,0
2009-12,Austria,POST,POSTAGE,2,80,1,0
2009-12,Belgium,20685,RED SPOTTY COIR DOORMAT,2,13.5,1,0
2009-12,Belgium,21212,PACK OF 72 RETRO SPOT CAKE CASES,24,13.2,1,0
2009-12,Belgium,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,15,1,0
2009-12,Belgium,21527,RETRO SPOT TRADITIONAL TEAPOT,2,15.9,1,0
2009-12,Belgium,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,15,1,0
2009-12,Belgium,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,15,1,0
2009-12,Belgium,21844,RETRO SPOT MUG,6,17.7,1,0
2009-12,Belgium,21935,SUKI  SHOULDER BAG,10,16.5,1,0
2009-12,Belgium,22071,SMALL RETRO SPOT MUG IN BOX  WHITE,6,22.5,1,0
2009-12,Belgium,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,31.6,1,0
2009-12,Belgium,22212,FOUR HOOK  WHITE LOVEBIRDS,6,12.6,1,0
2009-12,Belgium,22232,JIGSAW TOADSTOOLS 3 PIECE,8,13.2,1,0
2009-12,Belgium,22323,PINK POLKADOT KIDS BAG,3,14.85,1,0
2009-12,Belgium,22348,TEA BAG PLATE RED SPOTTY,12,10.2,1,0
2009-12,Belgium,22355,"CHARLOTTE BAG , SUKI DESIGN",10,8.5,1,0
2009-12,Belgium,79000,MOROCCAN TEA GLASS,12,10.2,1,0
2009-12,Belgium,82600,NO SINGING METAL SIGN,12,25.2,1,0
2009-12,Belgium,85063,CREAM SWEETHEART MAGAZINE RACK,1,16.95,1,0
2009-12,Belgium,POST,POSTAGE,3,160,2,0
2009-12,Channel Islands,20685,RED SPOTTY COIR DOORMAT,6,40.5,1,0
2009-12,Channel Islands,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,6,19.5,1,0
2009-12,Channel Islands,21187,WHITE BELL HONEYCOMB PAPER GARLAND,12,19.8,1,0
2009-12,Channel Islands,21212,PACK OF 72 RETRO SPOT CAKE CASES,24,13.2,1,0
2009-12,Channel Islands,21588,RETRO SPOT GIANT  TUBE MATCHES,12,30.6,1,0
2009-12,Channel Islands,21589,SWALLOW GIANT TUBE MATCHES,12,30.6,1,0
2009-12,Channel Islands,21592,RETRO SPOT  CIGAR BOX MATCHES,24,30,1,0
2009-12,Channel Islands,21621,VINTAGE UNION JACK BUNTING,6,51,1,0
2009-12,Channel Islands,21622,VINTAGE UNION JACK CUSHION COVER,4,19.8,1,0
2009-12,Channel Islands,21639,ASSORTED TUTTI FRUTTI KEYRING,24,20.4,1,0
2009-12,Channel Islands,21647,ASSORTED TUTTI FRUTTI LARGE PURSE,24,50.4,1,0
2009-12,Channel Islands,21735,TWO DOOR CURIO CABINET,2,25.5,1,0
2009-12,Channel Islands,21955,UNION JACK GUNS & ROSES  DOORMAT,4,27,1,0
2009-12,Channel Islands,22049,WRAP CHRISTMAS SCREEN PRINT,25,10.5,1,0
2009-12,Channel Islands,22102,MIRROR MOSAIC T-LIGHT HOLDER,6,9.9,1,0
2009-12,Channel Islands,22127,PARTY CONES CARNIVAL ASSORTED,36,45,1,0
2009-12,Channel Islands,22128,PARTY CONES CANDY ASSORTED,12,15,1,0
2009-12,Channel Islands,22130,PARTY CONE CHRISTMAS DECORATION,24,20.4,1,0
2009-12,Channel Islands,22138,BAKING SET 9 PIECE RETROSPOT,6,29.7,1,0
2009-12,Channel Islands,22139,RETRO SPOT TEA SET CERAMIC 11 PC,6,29.7,1,0
2009-12,Channel Islands,22179,SET 10 LIGHTS NIGHT OWL,6,40.5,1,0
2009-12,Channel Islands,22187,GREEN CHRISTMAS TREE CARD HOLDER,8,34,1,0
2009-12,Channel Islands,22198,"POPCORN HOLDER , LARGE",12,19.8,1,0
2009-12,Channel Islands,22215,CAKE STAND WHITE TWO TIER LACE,4,34,1,0
2009-12,Channel Islands,22218,CAKE STAND LACE WHITE,6,25.5,1,0
2009-12,Channel Islands,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,4,39.8,1,0
2009-12,Channel Islands,22222,CAKE PLATE LOVEBIRD WHITE,6,29.7,1,0
2009-12,Channel Islands,22223,CAKE PLATE LOVEBIRD PINK,3,14.85,1,0
2009-12,Channel Islands,22299,PIG KEYRING WITH LIGHT & SOUND,24,30,1,0
2009-12,Channel Islands,22323,PINK POLKADOT KIDS BAG,3,14.85,1,0
2009-12,Channel Islands,22324,BLUE POLKADOT KIDS BAG,3,14.85,1,0
2009-12,Channel Islands,22348,TEA BAG PLATE RED SPOTTY,12,10.2,1,0
2009-12,Channel Islands,72008,FROSTED BOX 9 WHITE T-LIGHT CANDLES,12,5.04,1,0
2009-12,Channel Islands,84879,ASSORTED COLOUR BIRD ORNAMENT,16,27.04,1,0
2009-12,Channel Islands,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,10.2,1,0
2009-12,Channel Islands,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,3,17.85,1,0
2009-12,Channel Islands,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,6,35.7,1,0
2009-12,Channel Islands,85033G,SET/6 GOLD REINDEER T-LIGHT CANDLES,12,23.4,1,0
2009-12,Channel Islands,85033S,SET/6 SILVER REINDEER T-LIGHTS,12,23.4,1,0
2009-12,Cyprus,10133,COLOURING PENCILS BROWN TUBE,10,8.5,1,0
2009-12,Cyprus,15039,SANDALWOOD FAN,10,8.5,1,0
2009-12,Cyprus,15056N,EDWARDIAN PARASOL NATURAL,3,17.85,1,0
2009-12,Cyprus,15060B,FAIRY CAKE DESIGN UMBRELLA,4,15,1,0
2009-12,Cyprus,18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,12,30.6,1,0
2009-12,Cyprus,20679,EDWARDIAN PARASOL RED,3,17.85,1,0
2009-12,Cyprus,20685,RED SPOTTY COIR DOORMAT,2,13.5,1,0
2009-12,Cyprus,20702,PINK PADDED MOBILE,3,12.75,1,0
2009-12,Cyprus,20703,BLUE PADDED SOFT MOBILE,3,12.75,1,0
2009-12,Cyprus,20728,LUNCH BAG CARS BLUE,10,16.5,1,0
2009-12,Cyprus,20747,PICCADILLY TEA SET,1,14.95,1,0
2009-12,Cyprus,20749,ASSORTED COLOUR MINI CASES,4,31.8,2,0
2009-12,Cyprus,20750,RED/WHITE DOT MINI CASES,2,15.9,1,0
2009-12,Cyprus,20753,RETRO PINK SPOT WASHING UP GLOVES,6,12.6,1,0
2009-12,Cyprus,20754,RETRO RED SPOTTY WASHING UP GLOVES,6,12.6,1,0
2009-12,Cyprus,20818,GOLD TEDDY BEAR,4,15,1,0
2009-12,Cyprus,20819,SILVER TEDDY BEAR,4,15,1,0
2009-12,Cyprus,20840,FRENCH FLORAL CUSHION COVER,6,17.7,1,0
2009-12,Cyprus,20845,ZINC HEART LATTICE 2 WALL PLANTER,2,12.7,1,0
2009-12,Cyprus,20931,BLUE POT PLANT CANDLE,4,15,1,0
2009-12,Cyprus,20960,WATERMELON BATH SPONGE,12,15,1,0
2009-12,Cyprus,20966,SANDWICH BATH SPONGE,12,15,1,0
2009-12,Cyprus,20984,12 PENCILS TALL TUBE POSY,12,10.2,1,0
2009-12,Cyprus,20998,ROSE DU SUD OVEN GLOVE,6,17.7,1,0
2009-12,Cyprus,21040,MODERN VINTAGE COTTON SHOPPING BAG,6,15.3,1,0
2009-12,Cyprus,21051,RIBBONS PURSE,6,12.6,1,0
2009-12,Cyprus,21054,NURSE'S BAG SOFT TOY,1,8.95,1,0
2009-12,Cyprus,21055,TOOL BOX SOFT TOY,1,8.95,1,0
2009-12,Cyprus,21056,DOCTOR'S BAG SOFT TOY,1,8.95,1,0
2009-12,Cyprus,21080,SET/20 RED SPOTTY PAPER NAPKINS,12,10.2,1,0
2009-12,Cyprus,21134,VICTORIAN METAL POSTCARD CHRISTMAS,16,26.4,1,0
2009-12,Cyprus,21136,PAINTED METAL PEARS ASSORTED,16,27.04,1,0
2009-12,Cyprus,21155,RED SPOTTY PEG BAG,6,12.6,1,0
2009-12,Cyprus,21164,HOME SWEET HOME METAL SIGN,12,35.4,2,0
2009-12,Cyprus,21165,BEWARE OF THE CAT METAL SIGN,12,20.28,1,0
2009-12,Cyprus,21166,COOK WITH WINE METAL SIGN,12,23.4,1,0
2009-12,Cyprus,21171,BATHROOM METAL SIGN,12,17.4,1,0
2009-12,Cyprus,21175,GIN + TONIC DIET METAL SIGN,18,37.8,2,0
2009-12,Cyprus,21179,NO JUNK MAIL METAL SIGN,12,15,1,0
2009-12,Cyprus,21181,PLEASE ONE PERSON  METAL SIGN,12,25.2,2,0
2009-12,Cyprus,21185,HOME SWEET HOME  BLACKBOARD,3,19.05,1,0
2009-12,Cyprus,21231,SWEETHEART CERAMIC TRINKET BOX,12,15,1,0
2009-12,Cyprus,21232,STRAWBERRY CERAMIC TRINKET BOX,12,15,1,0
2009-12,Cyprus,21257,VICTORIAN SEWING BOX MEDIUM,2,15.9,1,0
2009-12,Cyprus,21259,VICTORIAN SEWING BOX SMALL,2,11.9,1,0
2009-12,Cyprus,21260,FIRST AID TIN,6,19.5,1,0
2009-12,Cyprus,21269,ANTIQUE CREAM CUTLERY SHELF,2,17,1,0
2009-12,Cyprus,21272,SALLE DE BAIN HOOK,12,15,1,0
2009-12,Cyprus,21274,EMBOSSED HEART 3 DRAWER SHELF,1,12.75,1,0
2009-12,Cyprus,21276,TWO EMBOSSED HEART MINI DRAWERS,2,13.9,1,0
2009-12,Cyprus,21278,VINTAGE KITCHEN PRINT PUDDINGS,6,15.3,1,0
2009-12,Cyprus,21300,ANTIQUE EDWARDIAN DRESSER,2,99.9,1,0
2009-12,Cyprus,21303,FILIGREE WALL MIRROR  ANTIQUE WHITE,4,59,1,0
2009-12,Cyprus,21323,HANGING MEDINA LANTERN LARGE,3,12.75,1,0
2009-12,Cyprus,21324,HANGING MEDINA LANTERN SMALL,6,17.7,1,0
2009-12,Cyprus,21326,AGED GLASS SILVER T-LIGHT HOLDER,12,7.8,1,0
2009-12,Cyprus,21333,CLASSIC WHITE FRAME,6,17.7,1,0
2009-12,Cyprus,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,8,79.6,1,0
2009-12,Cyprus,21390,FILIGRIS HEART WITH BUTTERFLY,24,30,1,0
2009-12,Cyprus,21396,RED SPOTTY EGG CUP,12,15,1,0
2009-12,Cyprus,21402,RED  EGG  SPOON,12,5.04,1,0
2009-12,Cyprus,21407,BROWN CHECK CAT DOORSTOP,3,12.75,1,0
2009-12,Cyprus,21411,GINGHAM HEART  DOORSTOP RED,3,12.75,1,0
2009-12,Cyprus,21414,SCALLOP SHELL SOAP DISH,6,12.6,1,0
2009-12,Cyprus,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,8,34,2,0
2009-12,Cyprus,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,15,1,0
2009-12,Cyprus,21462,"NURSERY A,B,C PAINTED LETTERS",2,13.5,1,0
2009-12,Cyprus,21484,CHICK GREY HOT WATER BOTTLE,4,13.8,1,0
2009-12,Cyprus,21523,FANCY FONT HOME SWEET HOME DOORMAT,2,13.5,1,0
2009-12,Cyprus,21524,SPOTTY  HOME SWEET HOME DOORMAT,2,13.5,1,0
2009-12,Cyprus,21527,RETRO SPOT TRADITIONAL TEAPOT,2,15.9,1,0
2009-12,Cyprus,21561,DINOSAUR LUNCHBOX WITH CUTLERY,6,15.3,1,0
2009-12,Cyprus,21652,GLASS ETCHED T-LIGHT HOLDER MEDIUM,12,23.4,1,0
2009-12,Cyprus,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,14.85,1,0
2009-12,Cyprus,21733,RED HANGING HEART T-LIGHT HOLDER,6,17.7,1,0
2009-12,Cyprus,21736,GOLD SCROLL GLASS T-LIGHT HOLDER,6,12.6,1,0
2009-12,Cyprus,21752,GLASS CAKE STAND MIRRORED BASE,3,44.85,1,0
2009-12,Cyprus,21756,BATH BUILDING BLOCK WORD,3,17.85,1,0
2009-12,Cyprus,21764,VINTAGE WOODEN PLATE RACK,2,79.9,1,0
2009-12,Cyprus,21768,WALL MOUNTED VINTAGE ORGANISER,1,14.95,1,0
2009-12,Cyprus,21770,OPEN CLOSED METAL SIGN,4,19.8,2,0
2009-12,Cyprus,21780,MA CAMPAGNE 4 DRAWER WALL SHELF,1,14.95,1,0
2009-12,Cyprus,21836,GINGHAM OVEN GLOVE RED HEART,4,15,1,0
2009-12,Cyprus,21837,CROSS STITCH ALPHABET CUSHION COVER,9,53.55,2,0
2009-12,Cyprus,21841,BABY MOUSE RED GINGHAM DRESS,3,12.75,1,0
2009-12,Cyprus,21908,CHOCOLATE THIS WAY METAL SIGN,6,12.6,1,0
2009-12,Cyprus,21911,GARDEN METAL SIGN,12,19.8,1,0
2009-12,Cyprus,21928,JUMBO BAG SCANDINAVIAN PAISLEY,10,19.5,1,0
2009-12,Cyprus,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,19.5,1,0
2009-12,Cyprus,22047,EMPIRE GIFT WRAP,200,68,1,0
2009-12,Cyprus,22051,BLUE SCANDINAVIAN PAISLEY WRAP,200,68,1,0
2009-12,Cyprus,22084,PAPER CHAIN KIT EMPIRE,6,17.7,1,0
2009-12,Cyprus,22090,PAPER BUNTING RETRO SPOTS,6,17.7,1,0
2009-12,Cyprus,22096,PINK PAISLEY SQUARE TISSUE BOX,12,15,1,0
2009-12,Cyprus,22097,SWALLOW SQUARE TISSUE BOX,12,15,1,0
2009-12,Cyprus,22111,SCOTTIE DOG HOT WATER BOTTLE,6,29.7,2,0
2009-12,Cyprus,22138,BAKING SET 9 PIECE RETROSPOT,3,14.85,1,0
2009-12,Cyprus,22139,RETRO SPOT TEA SET CERAMIC 11 PC,3,14.85,1,0
2009-12,Cyprus,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,17,1,0
2009-12,Cyprus,22172,METAL SHELF WITH RAIL,2,17,1,0
2009-12,Cyprus,22178,VICTORIAN GLASS HANGING T-LIGHT,12,15,1,0
2009-12,Cyprus,22202,MILK PAN PINK RETROSPOT,4,15,1,0
2009-12,Cyprus,22215,CAKE STAND WHITE TWO TIER LACE,4,34,1,0
2009-12,Cyprus,22218,CAKE STAND LACE WHITE,3,12.75,1,0
2009-12,Cyprus,22222,CAKE PLATE LOVEBIRD WHITE,6,29.7,1,0
2009-12,Cyprus,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,12,17.88,1,0
2009-12,Cyprus,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,17.88,1,0
2009-12,Cyprus,37500,TEA TIME TEAPOT IN GIFT BOX,2,19.9,1,0
2009-12,Cyprus,37501,TEA TIME TEA SET IN GIFT BOX,3,20.85,1,0
2009-12,Cyprus,46000M,POLYESTER FILLER PAD 45x45cm,18,27.9,1,0
2009-12,Cyprus,46000S,POLYESTER FILLER PAD 40x40cm,10,14.5,1,0
2009-12,Cyprus,47505,MINATURE COLOURED GARDENING SET,3,14.85,1,0
2009-12,Cyprus,47556B,TEA TIME TEA TOWELS,6,17.7,1,0
2009-12,Cyprus,47568,ENGLISH ROSE DESIGN PEG BAG,6,12.6,1,0
2009-12,Cyprus,48103,DOOR MAT KISS MY.......,2,13.5,1,0
2009-12,Cyprus,48111,DOOR MAT 3 SMILEY CATS,2,13.5,1,0
2009-12,Cyprus,48116,DOOR MAT MULTICOLOUR STRIPE,2,13.5,1,0
2009-12,Cyprus,48187,DOOR MAT NEW ENGLAND,2,13.5,1,0
2009-12,Cyprus,48188,DOOR MAT WELCOME PUPPIES,4,27,2,0
2009-12,Cyprus,48195,DOOR MAT GREEN PAISLEY,2,13.5,1,0
2009-12,Cyprus,71459,HANGING JAM JAR T-LIGHT HOLDER,12,10.2,1,0
2009-12,Cyprus,72741,GRAND CHOCOLATECANDLE,18,26.1,1,0
2009-12,Cyprus,72756,FAIRY CAKE CANDLES,9,13.41,1,0
2009-12,Cyprus,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,6,59.7,1,0
2009-12,Cyprus,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,4,17,1,0
2009-12,Cyprus,82482,WOODEN PICTURE FRAME WHITE FINISH,12,30.6,2,0
2009-12,Cyprus,82483,WOOD 2 DRAWER CABINET WHITE FINISH,3,17.85,1,0
2009-12,Cyprus,82494L,WOODEN FRAME ANTIQUE WHITE,6,17.7,1,0
2009-12,Cyprus,82552,WASHROOM METAL SIGN,12,15,1,0
2009-12,Cyprus,82578,KITCHEN METAL SIGN,12,6.6,1,0
2009-12,Cyprus,82580,BATHROOM METAL SIGN,12,6.6,1,0
2009-12,Cyprus,82581,TOILET METAL SIGN,12,6.6,1,0
2009-12,Cyprus,84406B,CREAM CUPID HEARTS COAT HANGER,8,26,1,0
2009-12,Cyprus,84509B,FAIRY CAKE PLACEMATS,8,30,1,0
2009-12,Cyprus,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,12,10.2,1,0
2009-12,Cyprus,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,12,10.2,1,0
2009-12,Cyprus,84580,MOUSE TOY WITH PINK T-SHIRT,4,15,1,0
2009-12,Cyprus,84620,BLUE GINGHAM ROSE CUSHION COVER,8,47.6,2,0
2009-12,Cyprus,84622,PINK GINGHAM ROSE CUSHION COVER,8,47.6,2,0
2009-12,Cyprus,84657,GREEN ROSE CUSHION COVER,4,23.8,1,0
2009-12,Cyprus,84658,WHITE STITCHED CUSHION COVER,4,27.8,1,0
2009-12,Cyprus,84684,BEACH HUT PHOTO FRAME,8,20.4,1,0
2009-12,Cyprus,84685,BEACH HUT KEY CABINET,4,15,1,0
2009-12,Cyprus,84686,BEACH HUT MIRROR,4,17,1,0
2009-12,Cyprus,84688,BEACH HUT DESIGN BLACKBOARD,6,25.5,1,0
2009-12,Cyprus,84689,S/2 BEACH HUT TREASURE CHESTS,3,17.85,1,0
2009-12,Cyprus,84691,PACK 20 DOLLY PEGS,12,10.2,1,0
2009-12,Cyprus,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,10.4,1,0
2009-12,Cyprus,84773,RED ROSE AND LACE C/COVER,6,17.7,1,0
2009-12,Cyprus,84815,SET OF 3 DANISH ROSE PLANTERS,3,12.75,1,0
2009-12,Cyprus,84818,DANISH ROSE PHOTO FRAME,6,15.3,1,0
2009-12,Cyprus,84849B,FAIRY SOAP SOAP HOLDER,12,20.28,1,0
2009-12,Cyprus,84879,ASSORTED COLOUR BIRD ORNAMENT,8,13.52,1,0
2009-12,Cyprus,84880,WHITE WIRE EGG HOLDER,3,17.85,1,0
2009-12,Cyprus,84907,PINK/YELLOW PATCH CUSHION COVER,4,30.6,1,0
2009-12,Cyprus,84910A,PINK PAISLEY CUSHION COVER,4,23.8,1,0
2009-12,Cyprus,84918,CREAM C/COVER W YELLOW/GREEN FLOWER,4,27.8,1,0
2009-12,Cyprus,84919,L BLUE C/COVER W PINK/YELLOW FLOWER,4,27.8,1,0
2009-12,Cyprus,84926C,FAIRY CAKES TILE COASTER,12,15,1,0
2009-12,Cyprus,84946,ANTIQUE SILVER TEA GLASS ETCHED,12,15,1,0
2009-12,Cyprus,84948,SILVER HANGING T-LIGHT HOLDER DOME,6,9.9,1,0
2009-12,Cyprus,84949,SILVER HANGING T-LIGHT HOLDER,6,9.9,1,0
2009-12,Cyprus,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,11.4,1,0
2009-12,Cyprus,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,3,17.85,1,0
2009-12,Cyprus,85053,FRENCH ENAMEL CANDLEHOLDER,12,25.2,2,0
2009-12,Cyprus,85055,FRENCH ENAMEL UTENSIL HOLDER,8,30,1,0
2009-12,Cyprus,85065,CREAM SWEETHEART TRAYS,1,12.75,1,0
2009-12,Cyprus,85114C,RED ENCHANTED FOREST PLACEMAT,12,19.8,1,0
2009-12,Cyprus,85121B,RETRO LAUNDRY TUB PINK,2,17,1,0
2009-12,Cyprus,85121C,RETRO LAUNDRY TUB PISTACHIO,2,17,1,0
2009-12,Cyprus,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,53.1,2,0
2009-12,Cyprus,85129C,BEADED CRYSTAL HEART BLUE SMALL,12,15,1,0
2009-12,Cyprus,85150,LADIES & GENTLEMEN METAL SIGN,6,15.3,1,0
2009-12,Cyprus,85152,HAND OVER THE CHOCOLATE   SIGN,6,12.6,1,0
2009-12,Cyprus,85232A,SET/3 POLKA DOT STACKING TINS,3,14.85,1,0
2009-12,Cyprus,85232B,SET/3 RUSSIAN DOLL STACKING TINS,3,14.85,1,0
2009-12,Denmark,21282,NATURAL BARK CANDLE LARGE,24,90,1,0
2009-12,Denmark,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,6,15.3,1,0
2009-12,Denmark,21699,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,12,20.28,1,0
2009-12,Denmark,21702,SET 5 MINI GATEAUX  FRIDGE MAGNETS,12,20.28,1,0
2009-12,Denmark,79323P,PINK CHERRY LIGHTS,12,81,1,0
2009-12,Denmark,79323W,WHITE CHERRY LIGHTS,24,130.8,1,0
2009-12,Denmark,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,480,1008,1,0
2009-12,Denmark,POST,POSTAGE,4,72,1,0
2009-12,EIRE,10134,COLOURING PENCILS BROWN TUBE,10,12.5,1,0
2009-12,EIRE,15056BL,EDWARDIAN PARASOL BLACK,9,53.55,2,0
2009-12,EIRE,15056N,EDWARDIAN PARASOL NATURAL,3,17.85,1,0
2009-12,EIRE,15060B,FAIRY CAKE DESIGN UMBRELLA,4,15,1,0
2009-12,EIRE,16119,FUNKY GIRL ADDRESS BOOK,12,15,1,0
2009-12,EIRE,17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",6,15.3,1,0
2009-12,EIRE,17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,12,5.04,1,0
2009-12,EIRE,20617,FIRST CLASS PASSPORT COVER,6,12.6,1,0
2009-12,EIRE,20679,EDWARDIAN PARASOL RED,6,35.7,1,0
2009-12,EIRE,20681,PINK SPOTTY CHILDS UMBRELLA,66,184.5,2,0
2009-12,EIRE,20682,RED SPOTTY CHILDS UMBRELLA,66,184.5,2,0
2009-12,EIRE,20685,RED SPOTTY COIR DOORMAT,40,238,1,0
2009-12,EIRE,20692,FLORAL ELEPHANT SOFT TOY,9,38.25,1,0
2009-12,EIRE,20725,LUNCH BAG RED SPOTTY,100,145,1,0
2009-12,EIRE,20728,LUNCH BAG CARS BLUE,100,145,1,0
2009-12,EIRE,20733,GOLD MINI TAPE MEASURE,10,8.5,1,0
2009-12,EIRE,20734,SILVER MINI TAPE MEASURE,10,8.5,1,0
2009-12,EIRE,20747,PICCADILLY TEA SET,2,29.9,1,0
2009-12,EIRE,20749,ASSORTED COLOUR MINI CASES,4,31.8,1,0
2009-12,EIRE,20750,RED/WHITE DOT MINI CASES,2,15.9,1,0
2009-12,EIRE,20751,FUNKY WASHING UP GLOVES ASSORTED,72,151.2,5,0
2009-12,EIRE,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,24,50.4,3,0
2009-12,EIRE,20753,RETRO PINK SPOT WASHING UP GLOVES,18,37.8,3,0
2009-12,EIRE,20754,RETRO RED SPOTTY WASHING UP GLOVES,108,197.28,6,0
2009-12,EIRE,20768,GREEN FERN JOURNAL,6,15.3,1,0
2009-12,EIRE,20828,GLITTER BUTTERFLY CLIPS,24,61.2,3,0
