begin_date,state,cz_name,event_type,magnitude,magnitude_type,injuries,deaths,property_damage,crop_damage,tor_f_scale
2024-11-01,IOWA,WEBSTER,Drought,0,,0,0,0,0,
2024-11-01,IOWA,WRIGHT,Drought,0,,0,0,0,0,
2024-12-11,PENNSYLVANIA,NORTHERN ERIE,Lake-Effect Snow,0,,1,0,0,0,
2024-11-01,IOWA,HUMBOLDT,Drought,0,,0,0,0,0,
2024-11-01,IOWA,FRANKLIN,Drought,0,,0,0,0,0,
2024-11-01,IOWA,BUTLER,Drought,0,,0,0,0,0,
2024-07-16,NEBRASKA,BROWN,Hail,1.25,,0,0,0,0,
2024-07-16,NEBRASKA,LOGAN,Hail,1,,0,0,0,0,
2024-07-16,NEBRASKA,BROWN,Thunderstorm Wind,52,MG,0,0,0,0,
2024-07-14,NEBRASKA,KEYA PAHA,Hail,0.75,,0,0,0,0,
2024-11-01,IOWA,BREMER,Drought,0,,0,0,0,0,
2024-05-08,KANSAS,JOHNSON,Hail,1.75,,0,0,0,0,
2024-05-08,KANSAS,JOHNSON,Hail,1.25,,0,0,0,0,
2024-05-08,KANSAS,JOHNSON,Hail,1,,0,0,0,0,
2024-05-08,KANSAS,JOHNSON,Hail,2,,0,0,0,0,
2024-05-20,ARIZONA,NORTHWEST PINAL COUNTY,Dust Storm,0,,1,0,0,0,
2024-05-19,ARIZONA,CENTRAL PHOENIX,Heat,0,,0,1,0,0,
2024-02-07,TEXAS,CASTRO,High Wind,56,MG,0,0,0,0,
2024-02-08,WYOMING,SOUTH LARAMIE RANGE FOOTHILLS,High Wind,50,MG,0,0,0,0,
2024-02-02,TEXAS,HALE,Thunderstorm Wind,50,MG,0,0,0,0,
2024-02-14,WYOMING,SNOWY RANGE,Heavy Snow,0,,0,0,0,0,
2024-02-18,WYOMING,NORTH SNOWY RANGE FOOTHILLS,High Wind,59,MG,0,0,0,0,
2024-02-02,TEXAS,HALL,Hail,1,,0,0,0,0,
2024-02-16,WYOMING,SOUTH LARAMIE RANGE FOOTHILLS,Heavy Snow,0,,0,0,0,0,
2024-02-16,WYOMING,NORTH SNOWY RANGE FOOTHILLS,Heavy Snow,0,,0,0,0,0,
2024-02-16,WYOMING,GOSHEN COUNTY,Winter Weather,0,,0,0,0,0,
2024-02-11,TEXAS,PARMER,Winter Weather,0,,0,0,0,0,
2024-02-16,WYOMING,CENTRAL LARAMIE RANGE AND SOUTHWEST PLATTE COUNTY,Heavy Snow,0,,0,0,0,0,
2024-02-16,WYOMING,SOUTH LARAMIE RANGE,Heavy Snow,0,,0,0,0,0,
2024-02-16,WYOMING,CENTRAL LARAMIE COUNTY,Winter Weather,0,,0,0,0,0,
2024-02-18,WYOMING,CENTRAL LARAMIE RANGE AND SOUTHWEST PLATTE COUNTY,High Wind,54,MG,0,0,0,0,
2024-02-02,TEXAS,COTTLE,Thunderstorm Wind,56,MG,0,0,0,0,
2024-02-02,TEXAS,CHILDRESS,Hail,1.25,,0,0,0,0,
2024-02-14,WYOMING,SIERRA MADRE RANGE,Heavy Snow,0,,0,0,0,0,
2024-02-27,WYOMING,LARAMIE VALLEY,Winter Weather,0,,0,0,0,0,
2024-02-28,WYOMING,FERRIS/SEMINOE/SHIRLEY MOUNTAINS,High Wind,61,MG,0,0,0,0,
2024-02-28,WYOMING,CENTRAL LARAMIE RANGE AND SOUTHWEST PLATTE COUNTY,High Wind,66,MG,0,0,0,0,
2024-02-28,WYOMING,SOUTH LARAMIE RANGE,High Wind,59,MG,0,0,0,0,
2024-02-20,WYOMING,SNOWY RANGE,Winter Weather,0,,0,0,0,0,
2024-02-09,NEBRASKA,KIMBALL,Heavy Snow,0,,0,0,0,0,
2024-02-29,TEXAS,PARMER,Winter Weather,0,,0,0,0,0,
2024-02-29,TEXAS,BAILEY,Winter Weather,0,,0,0,0,0,
2024-02-29,TEXAS,LAMB,Winter Weather,0,,0,0,0,0,
2024-02-12,GULF OF MEXICO,TAMPA BAY,Marine Thunderstorm Wind,42,MG,0,0,0,0,
2024-02-20,WYOMING,SOUTH LARAMIE RANGE FOOTHILLS,High Wind,35,MS,0,0,0,0,
2024-02-27,WYOMING,SOUTH LARAMIE RANGE,Winter Weather,0,,0,0,0,0,
2024-02-27,WYOMING,SOUTH LARAMIE RANGE FOOTHILLS,Winter Weather,0,,0,0,0,0,
2024-02-26,WYOMING,SNOWY RANGE,Heavy Snow,0,,0,0,0,0,
2024-02-28,WYOMING,NORTH SNOWY RANGE FOOTHILLS,High Wind,72,MG,0,0,0,0,
2024-02-28,WYOMING,SOUTH LARAMIE RANGE FOOTHILLS,High Wind,56,MG,0,0,0,0,
2024-02-27,TEXAS,HALE,High Wind,37,MS,0,0,0,0,
2024-02-20,WYOMING,SIERRA MADRE RANGE,Heavy Snow,0,,0,0,0,0,
2024-02-21,WYOMING,NORTH SNOWY RANGE FOOTHILLS,Winter Weather,0,,0,0,0,0,
2024-02-21,WYOMING,UPPER NORTH PLATTE RIVER BASIN,Winter Weather,0,,0,0,0,0,
2024-02-27,TEXAS,LUBBOCK,High Wind,54,MG,0,0,0,0,
2024-02-29,TEXAS,CASTRO,Winter Weather,0,,0,0,0,0,
2024-02-04,FLORIDA,CITRUS,Hail,1.25,,0,0,0,0,
2024-02-20,WYOMING,CENTRAL LARAMIE RANGE AND SOUTHWEST PLATTE COUNTY,High Wind,35,MS,0,0,0,0,
2024-02-11,TEXAS,BAILEY,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,COCHRAN,Winter Weather,0,,0,0,0,0,
2024-02-11,TEXAS,TERRY,Winter Weather,0,,0,0,0,0,
2024-02-11,TEXAS,HOCKLEY,Winter Storm,0,,0,0,0,0,
2024-02-26,WYOMING,SIERRA MADRE RANGE,Winter Weather,0,,0,0,0,0,
2024-02-09,NEBRASKA,SCOTTS BLUFF,Winter Weather,0,,0,0,0,0,
2024-02-12,WYOMING,NORTH SNOWY RANGE FOOTHILLS,High Wind,58,MG,0,0,0,0,
2024-02-09,WYOMING,EAST LARAMIE COUNTY,Heavy Snow,0,,0,0,0,0,
2024-02-09,NEBRASKA,BANNER,Heavy Snow,0,,0,0,0,0,
2024-02-27,WYOMING,CENTRAL LARAMIE COUNTY,Winter Weather,0,,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Hail,1.5,,0,0,0,0,
2024-02-27,TEXAS,SWISHER,High Wind,38,MS,0,0,0,0,
2024-02-27,TEXAS,FLOYD,High Wind,36,MS,0,0,0,0,
2024-02-11,TEXAS,LAMB,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,CASTRO,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,LYNN,Winter Weather,0,,0,0,0,0,
2024-02-11,TEXAS,LUBBOCK,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,HALE,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,SWISHER,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,CROSBY,Winter Weather,0,,0,0,0,0,
2024-02-11,TEXAS,FLOYD,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,BRISCOE,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,HALL,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,MOTLEY,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,COTTLE,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,CHILDRESS,Winter Storm,0,,0,0,0,0,
2024-02-11,TEXAS,KING,Winter Weather,0,,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Tornado,0,,0,0,0,0,EF1
2024-02-27,ILLINOIS,COOK,Tornado,0,,0,0,0,0,EF1
2024-02-27,TEXAS,BAILEY,High Wind,53,MG,0,0,0,0,
2024-02-27,TEXAS,COCHRAN,High Wind,50,MG,0,0,0,0,
2024-02-27,ILLINOIS,LEE,Hail,1.5,,0,0,0,0,
2024-02-27,TEXAS,BRISCOE,High Wind,50,MG,0,0,0,0,
2024-02-27,ILLINOIS,LEE,Tornado,0,,0,0,0,0,EF0
2024-02-27,TEXAS,PARMER,High Wind,36,MS,0,0,0,0,
2024-02-27,ILLINOIS,WINNEBAGO,Hail,1.5,,0,0,0,0,
2024-02-27,ILLINOIS,WILL,Hail,1.5,,0,0,0,0,
2024-02-27,ILLINOIS,DE KALB,Hail,2,,0,0,0,0,
2024-02-27,TEXAS,HOCKLEY,High Wind,39,MS,0,0,0,0,
2024-02-27,TEXAS,LAMB,High Wind,38,MS,0,0,0,0,
2024-02-27,ILLINOIS,KANE,Tornado,0,,0,0,0,0,EF1
2024-02-27,TEXAS,CASTRO,High Wind,50,MG,0,0,0,0,
2024-02-27,TEXAS,YOAKUM,High Wind,36,MS,0,0,0,0,
2024-02-08,ILLINOIS,LA SALLE,Thunderstorm Wind,52,EG,0,0,0,0,
2024-02-08,ILLINOIS,LA SALLE,Thunderstorm Wind,52,EG,0,0,0,0,
2024-02-08,ILLINOIS,WILL,Hail,1,,0,0,0,0,
2024-02-08,ILLINOIS,COOK,Hail,1,,0,0,0,0,
2024-02-27,INDIANA,LAKE,Tornado,0,,0,0,0,0,EF1
2024-02-27,ILLINOIS,KANE,Thunderstorm Wind,55,MG,0,0,0,0,
2024-02-27,ILLINOIS,DU PAGE,Thunderstorm Wind,53,MG,0,0,0,0,
2024-02-27,ILLINOIS,KANE,Tornado,0,,0,0,0,0,EF0
2024-02-27,ILLINOIS,KANE,Thunderstorm Wind,61,EG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,52,EG,0,0,0,0,
2024-02-27,ILLINOIS,LAKE,Thunderstorm Wind,52,EG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Hail,1,,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Hail,1.25,,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Hail,1,,0,0,0,0,
2024-02-27,ILLINOIS,LEE,Hail,1.75,,0,0,0,0,
2024-02-27,ILLINOIS,LEE,Hail,1.75,,0,0,0,0,
2024-02-27,ILLINOIS,MCHENRY,Hail,1,,0,0,0,0,
2024-02-27,ILLINOIS,KANE,Tornado,0,,0,0,0,0,EF1
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,70,EG,0,0,0,0,
2024-02-27,ILLINOIS,LAKE,Thunderstorm Wind,52,EG,0,0,0,0,
2024-02-27,ILLINOIS,LAKE,Thunderstorm Wind,52,EG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,70,EG,0,0,0,0,
2024-02-27,ILLINOIS,DU PAGE,Hail,1,,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Hail,1.5,,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Hail,1.75,,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Hail,1.5,,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Hail,2,,0,0,0,0,
2024-11-01,IOWA,GRUNDY,Drought,0,,0,0,0,0,
2024-02-27,ILLINOIS,DE KALB,Hail,1,,0,0,0,0,
2024-11-01,IOWA,HARDIN,Drought,0,,0,0,0,0,
2024-11-01,IOWA,BLACK HAWK,Drought,0,,0,0,0,0,
2024-02-27,ILLINOIS,DE KALB,Tornado,0,,0,0,0,0,EF0
2024-02-27,ILLINOIS,DE KALB,Thunderstorm Wind,61,EG,0,0,0,0,
2024-02-27,ILLINOIS,DU PAGE,Hail,1,,0,0,0,0,
2024-02-27,ILLINOIS,DU PAGE,Hail,2,,0,0,0,0,
2024-02-27,ILLINOIS,WILL,Hail,1,,0,0,0,0,
2024-02-27,ILLINOIS,WILL,Hail,1,,0,0,0,0,
2024-02-27,ILLINOIS,WILL,Hail,1.75,,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,70,EG,0,0,0,0,
2024-02-27,ILLINOIS,LAKE,Thunderstorm Wind,70,EG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,65,EG,0,0,0,0,
2024-02-27,ILLINOIS,LAKE,Thunderstorm Wind,52,EG,0,0,0,0,
2024-02-27,ILLINOIS,LAKE,Thunderstorm Wind,61,EG,0,0,0,0,
2024-02-27,ILLINOIS,DE KALB,Thunderstorm Wind,61,EG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Tornado,0,,0,0,0,0,EF0
2024-02-08,LAKE MICHIGAN,WILMETTE HARBOR TO MICHIGAN CITY IN 5NM OFFSHORE TO MID LAKE,Marine Thunderstorm Wind,51,MG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,70,EG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,70,EG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,70,EG,0,0,0,0,
2024-02-27,ILLINOIS,LAKE,Thunderstorm Wind,65,EG,0,0,0,0,
2024-02-27,ILLINOIS,LAKE,Thunderstorm Wind,70,EG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Flood,0,,0,0,0,0,
2024-02-27,ILLINOIS,DE KALB,Hail,1.25,,0,0,0,0,
2024-02-27,ILLINOIS,DU PAGE,Hail,1.75,,0,0,0,0,
2024-02-27,ILLINOIS,DE KALB,Tornado,0,,0,0,0,0,EFU
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,56,MG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,54,MG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,71,MG,0,0,0,0,
2024-02-27,ILLINOIS,COOK,Thunderstorm Wind,70,EG,0,0,0,0,
2024-12-28,TEXAS,NAVARRO,Flash Flood,0,,0,0,10000,0,
2024-12-26,TEXAS,HILL,Hail,0.75,,0,0,0,0,
2024-05-18,ARIZONA,CENTRAL PHOENIX,Heat,0,,0,1,0,0,
2024-05-16,ARIZONA,CENTRAL LA PAZ,Heat,0,,0,1,0,0,
2024-05-20,ARIZONA,CENTRAL LA PAZ,Heat,0,,0,1,0,0,
2024-08-04,FLORIDA,INLAND LEE,Tropical Storm,0,,0,0,0,0,
2024-12-01,TEXAS,VAN ZANDT,Drought,0,,0,0,0,0,
2024-08-04,FLORIDA,DE SOTO,Tropical Storm,0,,0,0,0,0,
2024-05-31,ARIZONA,NORTHWEST VALLEY,Heat,0,,0,1,0,0,
2024-08-21,GULF OF MEXICO,CHARLOTTE HARBOR AND PINE ISLAND SOUND,Waterspout,0,,0,0,0,0,
2024-08-28,GULF OF MEXICO,ENGLEWOOD TO TARPON SPRINGS FL OUT 20NM,Marine Thunderstorm Wind,38,MG,0,0,0,0,
2024-02-04,GULF OF MEXICO,ENGLEWOOD TO TARPON SPRINGS FL OUT 20NM,Marine Thunderstorm Wind,41,MG,0,0,0,0,
2024-08-04,FLORIDA,COASTAL MANATEE,Tropical Storm,0,,0,0,0,0,
2024-05-30,ARIZONA,EAST VALLEY,Heat,0,,0,2,0,0,
2024-08-15,FLORIDA,CHARLOTTE,Funnel Cloud,0,,0,0,0,0,
2024-08-26,GULF OF MEXICO,TAMPA BAY,Marine Thunderstorm Wind,39,MG,0,0,0,0,
2024-08-26,GULF OF MEXICO,TAMPA BAY,Marine Thunderstorm Wind,34,MG,0,0,0,0,
2024-02-04,GULF OF MEXICO,ENGLEWOOD TO TARPON SPRINGS FL OUT 20NM,Marine Thunderstorm Wind,37,MG,0,0,0,0,
2024-02-09,WYOMING,SIERRA MADRE RANGE,Avalanche,0,,1,1,0,0,
2024-04-08,TEXAS,TARRANT,Hail,1.25,,0,0,0,0,
2024-08-04,FLORIDA,INLAND HERNANDO,Tropical Storm,0,,0,0,0,0,
2024-05-06,NEW MEXICO,FAR NORTHEAST HIGHLANDS,High Wind,51,MG,0,0,0,0,
2024-05-05,NEW MEXICO,NORTHWEST PLATEAU,High Wind,58,MG,0,0,0,0,
2024-05-07,NEW MEXICO,NORTHERN SANGRE DE CRISTO MOUNTAINS,High Wind,55,MG,0,0,0,0,
2024-04-08,TEXAS,FANNIN,Hail,1,,0,0,0,0,
2024-08-04,FLORIDA,COASTAL HERNANDO,Tropical Storm,0,,0,0,0,0,
2024-11-01,IOWA,HAMILTON,Drought,0,,0,0,0,0,
2024-11-01,IOWA,MARSHALL,Drought,0,,0,0,0,0,
2024-07-19,NEBRASKA,KEITH,Thunderstorm Wind,67,MG,0,0,0,0,
2024-07-19,NEBRASKA,KEITH,Hail,2,,1,0,0,0,
2024-02-08,INDIANA,PORTER,Hail,1,,0,0,0,0,
2024-02-08,INDIANA,LAKE,Hail,1,,0,0,0,0,
2024-11-01,IOWA,TAMA,Drought,0,,0,0,0,0,
2024-11-01,IOWA,POWESHIEK,Drought,0,,0,0,0,0,
2024-02-01,ALABAMA,LAUDERDALE,Drought,0,,0,0,0,0,
2024-02-16,OHIO,MIAMI,Winter Storm,0,,0,0,0,0,
2024-05-27,MARYLAND,BALTIMORE,Flash Flood,0,,0,0,0,0,
2024-04-30,OKLAHOMA,DEWEY,Hail,1.25,,0,0,0,0,
2024-04-30,OKLAHOMA,KIOWA,Hail,1,,0,0,0,0,
2024-04-30,OKLAHOMA,KIOWA,Hail,1.5,,0,0,0,0,
2024-04-30,OKLAHOMA,GRANT,Thunderstorm Wind,61,EG,0,0,2000,0,
2024-04-30,OKLAHOMA,WASHITA,Hail,3.5,,0,0,0,0,
2024-04-28,OKLAHOMA,JOHNSTON,Flash Flood,0,,0,0,0,0,
2024-04-28,OKLAHOMA,JOHNSTON,Flash Flood,0,,0,0,0,0,
2024-04-27,OKLAHOMA,MCCLAIN,Tornado,0,,0,0,40000,0,EF1
2024-04-27,OKLAHOMA,MCCLAIN,Tornado,0,,0,0,2000,0,EF1
2024-04-27,OKLAHOMA,MCCLAIN,Tornado,0,,0,0,2000,0,EF1
2024-04-30,OKLAHOMA,GREER,Hail,0.88,,0,0,0,0,
2024-04-27,OKLAHOMA,GARFIELD,Tornado,0,,0,0,5000,0,EF1
2024-04-27,OKLAHOMA,PAYNE,Tornado,0,,0,0,10000,0,EF0
2024-04-27,OKLAHOMA,STEPHENS,Flash Flood,0,,0,0,0,0,
2024-04-27,OKLAHOMA,PONTOTOC,Flash Flood,0,,0,0,0,0,
2024-04-30,OKLAHOMA,KIOWA,Hail,1.25,,0,0,0,0,
2024-04-30,OKLAHOMA,TILLMAN,Thunderstorm Wind,61,EG,0,0,20000,0,
2024-04-30,OKLAHOMA,TILLMAN,Thunderstorm Wind,61,EG,0,0,10000,0,
2024-04-06,OKLAHOMA,WOODS,High Wind,51,MG,0,0,0,0,
2024-04-27,OKLAHOMA,JOHNSTON,Tornado,0,,0,0,0,0,EFU
2024-04-27,OKLAHOMA,PONTOTOC,Tornado,0,,0,0,250000,0,EF1
2024-04-27,OKLAHOMA,MURRAY,Tornado,0,,0,0,200000,0,EF1
2024-04-30,OKLAHOMA,TILLMAN,Thunderstorm Wind,61,EG,0,0,10000,0,
2024-04-27,OKLAHOMA,GRADY,Tornado,0,,0,0,2000,0,EF1
2024-04-27,OKLAHOMA,MCCLAIN,Tornado,0,,0,0,2000,0,EF0
2024-04-27,OKLAHOMA,MURRAY,Tornado,0,,0,0,2000,0,EF1
2024-04-27,OKLAHOMA,MCCLAIN,Tornado,0,,0,0,200000,0,EF2
2024-04-27,OKLAHOMA,CLEVELAND,Tornado,0,,0,0,100000,0,EF1
2024-04-27,OKLAHOMA,OKLAHOMA,Tornado,0,,0,0,300000,0,EF1
2024-04-27,OKLAHOMA,STEPHENS,Thunderstorm Wind,61,EG,0,0,50000,0,
2024-04-27,OKLAHOMA,CARTER,Tornado,0,,0,0,1000000,0,EF2
2024-04-27,OKLAHOMA,LOVE,Thunderstorm Wind,61,EG,0,0,0,0,
2024-04-27,TEXAS,HARDEMAN,Hail,1.25,,0,0,0,0,
2024-04-27,TEXAS,KNOX,Hail,1.5,,0,0,0,0,
2024-04-27,OKLAHOMA,CLEVELAND,Thunderstorm Wind,52,EG,0,0,0,0,
2024-04-27,OKLAHOMA,PONTOTOC,Flash Flood,0,,0,0,0,0,
2024-04-27,OKLAHOMA,PONTOTOC,Flash Flood,0,,0,0,0,0,
2024-05-06,OKLAHOMA,LINCOLN,Hail,1.75,,0,0,0,0,
2024-04-30,OKLAHOMA,COTTON,Thunderstorm Wind,61,EG,0,0,5000,0,
2024-04-27,OKLAHOMA,JOHNSTON,Tornado,0,,0,0,50000,0,EF1
2024-04-27,OKLAHOMA,PONTOTOC,Tornado,0,,0,0,10000,0,EF1
2024-04-27,OKLAHOMA,CARTER,Tornado,0,,0,0,0,0,EF0
2024-04-30,OKLAHOMA,BLAINE,Hail,1.75,,0,0,0,0,
2024-04-30,OKLAHOMA,KIOWA,Hail,0.75,,0,0,0,0,
2024-04-30,OKLAHOMA,WASHITA,Hail,1,,0,0,0,0,
2024-04-30,OKLAHOMA,GREER,Hail,1.5,,0,0,0,0,
2024-04-30,OKLAHOMA,MAJOR,Hail,0.88,,0,0,0,0,
2024-04-06,OKLAHOMA,WOODS,High Wind,54,MG,0,0,0,0,
2024-04-06,OKLAHOMA,WOODS,High Wind,50,MG,0,0,0,0,
2024-04-30,OKLAHOMA,GARFIELD,Hail,1,,0,0,0,0,
2024-04-06,OKLAHOMA,CLEVELAND,Thunderstorm Wind,52,EG,0,0,0,0,
2024-04-06,OKLAHOMA,WOODS,High Wind,50,MG,0,0,0,0,
2024-04-27,OKLAHOMA,LINCOLN,Tornado,0,,0,0,30000,0,EF1
2024-04-27,OKLAHOMA,PONTOTOC,Flash Flood,0,,0,0,0,0,
2024-04-27,OKLAHOMA,STEPHENS,Flash Flood,0,,0,0,0,0,
2024-04-27,OKLAHOMA,KAY,Tornado,0,,0,0,20000,0,EF1
2024-04-27,OKLAHOMA,KAY,Tornado,0,,0,0,75000,0,EF1
2024-05-05,NEW MEXICO,NORTHERN SANGRE DE CRISTO MOUNTAINS,High Wind,66,MG,0,0,0,0,
2024-05-06,NEW MEXICO,CENTRAL HIGHLANDS,High Wind,51,MG,0,0,0,0,
2024-03-13,KANSAS,LEAVENWORTH,Hail,1,,0,0,0,0,
2024-03-13,KANSAS,JOHNSON,Hail,2.5,,0,0,0,0,
2024-03-12,MISSOURI,JOHNSON,Hail,1,,0,0,0,0,
2024-03-13,KANSAS,JOHNSON,Hail,1,,0,0,0,0,
2024-03-13,KANSAS,JOHNSON,Hail,1,,0,0,0,0,
2024-03-13,KANSAS,JOHNSON,Hail,1.25,,0,0,0,0,
2024-03-13,KANSAS,WYANDOTTE,Hail,1.75,,0,0,0,0,
2024-03-13,KANSAS,WYANDOTTE,Hail,2,,0,0,0,0,
2024-03-13,KANSAS,JOHNSON,Hail,3.5,,0,0,0,0,
2024-03-13,KANSAS,JOHNSON,Hail,2.75,,0,0,0,0,
2024-03-13,KANSAS,WYANDOTTE,Hail,1.75,,0,0,0,0,
2024-05-07,MISSOURI,STODDARD,Thunderstorm Wind,52,EG,0,0,1000,0,
2024-03-12,MISSOURI,LAFAYETTE,Hail,2,,0,0,0,0,
2024-03-12,MISSOURI,LAFAYETTE,Hail,2,,0,0,0,0,
2024-03-12,MISSOURI,CASS,Hail,1,,0,0,0,0,
2024-03-12,MISSOURI,SALINE,Hail,1,,0,0,0,0,
2024-05-26,KENTUCKY,MARSHALL,Hail,1,,0,0,0,0,
2024-03-08,MISSISSIPPI,NEWTON,Flash Flood,0,,0,0,1000,0,
2024-03-14,ILLINOIS,MACOUPIN,Tornado,0,,0,0,0,0,EF0
2024-05-26,KENTUCKY,HENDERSON,Hail,1,,0,0,0,0,
2024-05-26,KENTUCKY,CALDWELL,Hail,2.5,,0,0,0,0,
2024-05-26,MISSOURI,BARRY,Hail,2.5,,0,0,15000,0,
2024-03-14,OKLAHOMA,MURRAY,Hail,1,,0,0,0,0,
2024-03-14,OKLAHOMA,JOHNSTON,Hail,1,,0,0,0,0,
2024-05-08,MISSOURI,NEW MADRID,Hail,1.5,,0,0,0,0,
2024-03-14,OKLAHOMA,MURRAY,Hail,1.75,,0,0,0,0,
2024-03-15,ALABAMA,MORGAN,Thunderstorm Wind,43,EG,0,0,500,0,
2024-03-15,ALABAMA,MORGAN,Thunderstorm Wind,52,EG,0,0,2000,0,
2024-02-27,OHIO,LAKE,Hail,0.88,,0,0,0,0,
2024-02-28,OHIO,RICHLAND,Hail,1,,0,0,0,0,
2024-03-15,ALABAMA,MORGAN,Thunderstorm Wind,52,EG,0,0,2000,0,
2024-03-14,OKLAHOMA,SEMINOLE,Hail,1,,0,0,0,0,
2024-03-14,OKLAHOMA,JOHNSTON,Hail,1.82,,0,0,0,0,
2024-01-06,NEW JERSEY,WESTERN PASSAIC,Winter Weather,0,,0,0,0,0,
2024-01-06,NEW JERSEY,WESTERN ESSEX,Winter Weather,0,,0,0,0,0,
2024-01-09,NEW JERSEY,EASTERN BERGEN,High Wind,50,EG,0,0,0,0,
2024-01-13,NEW YORK,NORTHEAST SUFFOLK,High Wind,52,MG,0,0,0,0,
2024-01-14,CONNECTICUT,SOUTHERN NEW LONDON,High Wind,52,MG,0,0,0,0,
2024-04-08,TEXAS,DENTON,Hail,1,,0,0,0,0,
2024-01-14,NEW YORK,NORTHEAST SUFFOLK,High Wind,50,MG,0,0,0,0,
2024-01-10,CONNECTICUT,NEW LONDON,Flash Flood,0,,0,0,0,0,
2024-01-10,CONNECTICUT,NORTHERN FAIRFIELD,Astronomical Low Tide,0,,0,0,0,0,
2024-01-06,NEW JERSEY,WESTERN BERGEN,Winter Weather,0,,0,0,0,0,
2024-01-09,CONNECTICUT,SOUTHERN FAIRFIELD,High Wind,51,MG,0,0,0,0,
2024-01-09,CONNECTICUT,SOUTHERN NEW HAVEN,High Wind,56,MG,0,0,0,0,
