grade,sex,race_ethnicity,question,prevalence_pct,sample_size
All,Male,All,3 or more hours of screen time per day (outside school),61.9,10140
All,All,Non-Hispanic White,3 or more hours of screen time per day (outside school),63.5,8110
All,All,Non-Hispanic Black,3 or more hours of screen time per day (outside school),70.1,3040
All,All,Hispanic,3 or more hours of screen time per day (outside school),67.6,6080
All,All,All,Got 8 or more hours of sleep on an average school night,27.8,20280
9th,All,All,Got 8 or more hours of sleep on an average school night,32,5270
10th,All,All,Got 8 or more hours of sleep on an average school night,27.1,5070
11th,All,All,Got 8 or more hours of sleep on an average school night,24.7,5070
12th,All,All,Got 8 or more hours of sleep on an average school night,23.5,4870
All,Female,All,Got 8 or more hours of sleep on an average school night,24.8,10140
All,Male,All,Got 8 or more hours of sleep on an average school night,30.7,10140
All,All,Non-Hispanic White,Got 8 or more hours of sleep on an average school night,29.3,8110
All,All,Non-Hispanic Black,Got 8 or more hours of sleep on an average school night,22.8,3040
All,All,Hispanic,Got 8 or more hours of sleep on an average school night,26.1,6080
All,All,All,Had obesity (BMI at or above 95th percentile),15.2,20280
9th,All,All,Had obesity (BMI at or above 95th percentile),15,5270
10th,All,All,Had obesity (BMI at or above 95th percentile),15.3,5070
11th,All,All,Had obesity (BMI at or above 95th percentile),14.6,5070
12th,All,All,Had obesity (BMI at or above 95th percentile),14.1,4870
All,Female,All,Had obesity (BMI at or above 95th percentile),13.1,10140
All,Male,All,Had obesity (BMI at or above 95th percentile),17.2,10140
All,All,Non-Hispanic White,Had obesity (BMI at or above 95th percentile),12.1,8110
All,All,Non-Hispanic Black,Had obesity (BMI at or above 95th percentile),20.4,3040
All,All,Hispanic,Had obesity (BMI at or above 95th percentile),17.8,6080
All,All,All,Described self as slightly or very overweight,27.1,20280
9th,All,All,Described self as slightly or very overweight,25.8,5270
10th,All,All,Described self as slightly or very overweight,27.2,5070
11th,All,All,Described self as slightly or very overweight,28,5070
12th,All,All,Described self as slightly or very overweight,27.3,4870
All,Female,All,Described self as slightly or very overweight,33.2,10140
All,Male,All,Described self as slightly or very overweight,21.3,10140
All,All,Non-Hispanic White,Described self as slightly or very overweight,26.8,8110
All,All,Non-Hispanic Black,Described self as slightly or very overweight,22.7,3040
All,All,Hispanic,Described self as slightly or very overweight,29.8,6080
All,All,All,Ever had sexual intercourse,27.3,20280
9th,All,All,Ever had sexual intercourse,12.9,5270
10th,All,All,Ever had sexual intercourse,21.2,5070
11th,All,All,Ever had sexual intercourse,31.8,5070
12th,All,All,Ever had sexual intercourse,43.1,4870
All,Female,All,Ever had sexual intercourse,25.9,10140
All,Male,All,Ever had sexual intercourse,28.7,10140
All,All,Non-Hispanic White,Ever had sexual intercourse,25.2,8110
All,All,Non-Hispanic Black,Ever had sexual intercourse,33.8,3040
All,All,Hispanic,Ever had sexual intercourse,26.3,6080
All,All,All,Used a condom during last sexual intercourse (among currently sexually active),46.1,20280
9th,All,All,Used a condom during last sexual intercourse (among currently sexually active),50.2,5270
10th,All,All,Used a condom during last sexual intercourse (among currently sexually active),48,5070
11th,All,All,Used a condom during last sexual intercourse (among currently sexually active),44.8,5070
12th,All,All,Used a condom during last sexual intercourse (among currently sexually active),42,4870
All,Female,All,Used a condom during last sexual intercourse (among currently sexually active),42,10140
All,Male,All,Used a condom during last sexual intercourse (among currently sexually active),50.1,10140
All,All,Non-Hispanic White,Used a condom during last sexual intercourse (among currently sexually active),44.3,8110
All,All,Non-Hispanic Black,Used a condom during last sexual intercourse (among currently sexually active),51.2,3040
All,All,Hispanic,Used a condom during last sexual intercourse (among currently sexually active),47.4,6080
