geoid,county_name,state_abbr,year,industry_code,industry_name,annual_avg_employment,total_annual_wages,avg_weekly_wage,num_establishments
13147,Hart County,GA,2024,31-33,Manufacturing,9350,731079910,1504,540
13149,Heard County,GA,2024,31-33,Manufacturing,6946,504098323,1396,352
13151,Henry County,GA,2024,31-33,Manufacturing,4896,327823623,1288,214
13153,Houston County,GA,2024,31-33,Manufacturing,3202,196413807,1180,117
13155,Irwin County,GA,2024,31-33,Manufacturing,1863,103814769,1072,55
13157,Jackson County,GA,2024,31-33,Manufacturing,878,43994869,964,20
13159,Jasper County,GA,2024,31-33,Manufacturing,248,11033914,856,4
13161,Jeff Davis County,GA,2024,31-33,Manufacturing,9667,762485840,1517,566
13163,Jefferson County,GA,2024,31-33,Manufacturing,7220,528927547,1409,372
13165,Jenkins County,GA,2024,31-33,Manufacturing,5127,346801561,1301,228
13167,Johnson County,GA,2024,31-33,Manufacturing,3390,210267250,1193,127
13169,Jones County,GA,2024,31-33,Manufacturing,2007,113213415,1085,61
13171,Lamar County,GA,2024,31-33,Manufacturing,979,49726163,977,23
13173,Lanier County,GA,2024,31-33,Manufacturing,306,13823963,869,5
13175,Laurens County,GA,2024,31-33,Manufacturing,9990,794803268,1530,594
13177,Lee County,GA,2024,31-33,Manufacturing,7499,554501737,1422,393
13179,Liberty County,GA,2024,31-33,Manufacturing,5363,366437493,1314,244
13181,Lincoln County,GA,2024,31-33,Manufacturing,3583,224691716,1206,138
13183,Long County,GA,2024,31-33,Manufacturing,2156,123094741,1098,68
13185,Lowndes County,GA,2024,31-33,Manufacturing,1085,55853167,990,26
13187,Lumpkin County,GA,2024,31-33,Manufacturing,369,16922750,882,6
13191,McIntosh County,GA,2024,31-33,Manufacturing,7784,580905792,1435,415
13193,Macon County,GA,2024,31-33,Manufacturing,5605,386810703,1327,259
13195,Madison County,GA,2024,31-33,Manufacturing,3781,239697476,1219,148
13197,Marion County,GA,2024,31-33,Manufacturing,2311,133526800,1111,74
13199,Meriwether County,GA,2024,31-33,Manufacturing,1197,62438314,1003,30
13201,Miller County,GA,2024,31-33,Manufacturing,437,20340546,895,8
13203,Mitchell County,GA,2024,31-33,Manufacturing,33,1350670,787,1
13205,Monroe County,GA,2024,31-33,Manufacturing,8074,608076726,1448,437
13207,Montgomery County,GA,2024,31-33,Manufacturing,5852,407863820,1340,276
13209,Morgan County,GA,2024,31-33,Manufacturing,3984,255294802,1232,160
13211,Murray County,GA,2024,31-33,Manufacturing,2471,144463451,1124,82
13213,Muscogee County,GA,2024,31-33,Manufacturing,1314,69441083,1016,34
13215,Newton County,GA,2024,31-33,Manufacturing,511,24134853,908,10
13217,Oconee County,GA,2024,31-33,Manufacturing,63,2621693,800,1
13219,Oglethorpe County,GA,2024,31-33,Manufacturing,8369,636024810,1461,460
13221,Paulding County,GA,2024,31-33,Manufacturing,6103,429536734,1353,293
13223,Peach County,GA,2024,31-33,Manufacturing,4193,271558729,1245,172
13225,Pickens County,GA,2024,31-33,Manufacturing,2637,155974117,1137,89
13227,Pierce County,GA,2024,31-33,Manufacturing,1436,76871745,1029,39
13229,Pike County,GA,2024,31-33,Manufacturing,590,28270082,921,12
13231,Polk County,GA,2024,31-33,Manufacturing,99,4187594,813,1
13233,Pulaski County,GA,2024,31-33,Manufacturing,8670,664836997,1475,484
13235,Putnam County,GA,2024,31-33,Manufacturing,6361,452050859,1367,311
13237,Quitman County,GA,2024,31-33,Manufacturing,4407,288436134,1259,184
13239,Rabun County,GA,2024,31-33,Manufacturing,2808,168011288,1151,98
13241,Randolph County,GA,2024,31-33,Manufacturing,1563,84740573,1043,43
13243,Richmond County,GA,2024,31-33,Manufacturing,674,32756504,935,14
13245,Rockdale County,GA,2024,31-33,Manufacturing,140,6017717,827,2
13247,Schley County,GA,2024,31-33,Manufacturing,8975,694370880,1488,509
13249,Screven County,GA,2024,31-33,Manufacturing,6623,475205325,1380,329
13251,Seminole County,GA,2024,31-33,Manufacturing,4626,305937288,1272,197
13253,Spalding County,GA,2024,31-33,Manufacturing,2984,180585237,1164,106
13255,Stephens County,GA,2024,31-33,Manufacturing,1696,93112737,1056,49
13257,Stewart County,GA,2024,31-33,Manufacturing,763,37604390,948,16
13259,Sumter County,GA,2024,31-33,Manufacturing,186,8122332,840,3
13261,Talbot County,GA,2024,31-33,Manufacturing,9286,724790779,1501,535
13263,Taliaferro County,GA,2024,31-33,Manufacturing,6891,499153218,1393,348
13265,Tattnall County,GA,2024,31-33,Manufacturing,4850,324072463,1285,211
13267,Taylor County,GA,2024,31-33,Manufacturing,3165,193706235,1177,116
13269,Telfair County,GA,2024,31-33,Manufacturing,1834,101944979,1069,54
13271,Terrell County,GA,2024,31-33,Manufacturing,858,42873982,961,19
13273,Thomas County,GA,2024,31-33,Manufacturing,237,10511712,853,4
13275,Tift County,GA,2024,31-33,Manufacturing,9603,756109020,1514,561
13277,Toombs County,GA,2024,31-33,Manufacturing,7164,523833745,1406,368
13279,Towns County,GA,2024,31-33,Manufacturing,5080,342919434,1298,225
13281,Treutlen County,GA,2024,31-33,Manufacturing,3351,207384553,1190,125
13283,Troup County,GA,2024,31-33,Manufacturing,1977,111247569,1082,60
13285,Turner County,GA,2024,31-33,Manufacturing,958,48526951,974,22
13287,Twiggs County,GA,2024,31-33,Manufacturing,294,13241165,866,5
13289,Union County,GA,2024,31-33,Manufacturing,9924,788179085,1527,588
13291,Upson County,GA,2024,31-33,Manufacturing,7442,549257176,1419,389
13293,Walker County,GA,2024,31-33,Manufacturing,5315,362422337,1311,240
13295,Walton County,GA,2024,31-33,Manufacturing,3543,221693035,1203,135
13297,Ware County,GA,2024,31-33,Manufacturing,2126,121087735,1095,66
13299,Warren County,GA,2024,31-33,Manufacturing,1063,54573568,987,26
13301,Washington County,GA,2024,31-33,Manufacturing,356,16277294,879,6
13305,Webster County,GA,2024,31-33,Manufacturing,7726,575508274,1432,410
13307,Wheeler County,GA,2024,31-33,Manufacturing,5556,382660319,1324,256
13309,White County,GA,2024,31-33,Manufacturing,3740,236580749,1216,146
13311,Whitfield County,GA,2024,31-33,Manufacturing,2280,131420162,1108,73
13313,Wilcox County,GA,2024,31-33,Manufacturing,1174,61076128,1000,29
13315,Wilkes County,GA,2024,31-33,Manufacturing,423,19630371,892,8
13317,Wilkinson County,GA,2024,31-33,Manufacturing,27,1101358,784,1
13319,Worth County,GA,2024,31-33,Manufacturing,8015,602524188,1446,433
15001,Hawaii County,HI,2024,31-33,Manufacturing,5512,395372607,1379,274
15003,Honolulu County,HI,2024,31-33,Manufacturing,3849,254468803,1271,164
15005,Kalawao County,HI,2024,31-33,Manufacturing,2482,150152319,1163,88
15007,Kauai County,HI,2024,31-33,Manufacturing,1410,77380856,1055,40
15009,Maui County,HI,2024,31-33,Manufacturing,634,31233108,947,14
16001,Ada County,ID,2024,31-33,Manufacturing,3811,241991147,1221,150
16003,Adams County,ID,2024,31-33,Manufacturing,2335,135153554,1113,76
16005,Bannock County,ID,2024,31-33,Manufacturing,1214,63449886,1005,31
16007,Bear Lake County,ID,2024,31-33,Manufacturing,448,20898610,897,8
16009,Benewah County,ID,2024,31-33,Manufacturing,37,1518192,789,1
16011,Bingham County,ID,2024,31-33,Manufacturing,8118,612225114,1450,441
16013,Blaine County,ID,2024,31-33,Manufacturing,5889,411048043,1342,278
16015,Boise County,ID,2024,31-33,Manufacturing,4015,257694068,1234,162
16017,Bonner County,ID,2024,31-33,Manufacturing,2496,146181656,1126,83
16019,Bonneville County,ID,2024,31-33,Manufacturing,1332,70529275,1018,35
16021,Boundary County,ID,2024,31-33,Manufacturing,523,24755391,910,10
16023,Butte County,ID,2024,31-33,Manufacturing,68,2836755,802,1
16025,Camas County,ID,2024,31-33,Manufacturing,8414,640309757,1463,464
16027,Canyon County,ID,2024,31-33,Manufacturing,6142,432913067,1355,295
16029,Caribou County,ID,2024,31-33,Manufacturing,4224,274000710,1247,174
16031,Cassia County,ID,2024,31-33,Manufacturing,2662,157726507,1139,91
16033,Clark County,ID,2024,31-33,Manufacturing,1455,78038441,1031,39
16035,Clearwater County,ID,2024,31-33,Manufacturing,602,28906959,923,12
16037,Custer County,ID,2024,31-33,Manufacturing,105,4452183,815,1
16039,Elmore County,ID,2024,31-33,Manufacturing,8715,669183705,1477,488
16041,Franklin County,ID,2024,31-33,Manufacturing,6400,455480423,1369,313
16043,Fremont County,ID,2024,31-33,Manufacturing,4439,290986897,1261,186
16045,Gem County,ID,2024,31-33,Manufacturing,2834,169858314,1153,99
16047,Gooding County,ID,2024,31-33,Manufacturing,1583,85987655,1045,44
16049,Idaho County,ID,2024,31-33,Manufacturing,687,33458937,937,14
16051,Jefferson County,ID,2024,31-33,Manufacturing,146,6290629,829,2
16053,Jerome County,ID,2024,31-33,Manufacturing,9022,698934700,1490,513
16055,Kootenai County,ID,2024,31-33,Manufacturing,6663,478760385,1382,332
16057,Latah County,ID,2024,31-33,Manufacturing,4659,308598716,1274,199
16059,Lemhi County,ID,2024,31-33,Manufacturing,3010,182468162,1166,108
16061,Lewis County,ID,2024,31-33,Manufacturing,1716,94387188,1058,49
16063,Lincoln County,ID,2024,31-33,Manufacturing,777,38374263,950,17
16065,Madison County,ID,2024,31-33,Manufacturing,193,8447854,842,3
16067,Minidoka County,ID,2024,31-33,Manufacturing,9333,729418757,1503,538
16069,Nez Perce County,ID,2024,31-33,Manufacturing,6932,502835760,1395,351
16071,Oneida County,ID,2024,31-33,Manufacturing,4885,326913361,1287,213
16073,Owyhee County,ID,2024,31-33,Manufacturing,3192,195686877,1179,117
16075,Payette County,ID,2024,31-33,Manufacturing,1855,103303002,1071,55
16077,Power County,ID,2024,31-33,Manufacturing,873,43713281,963,20
16079,Shoshone County,ID,2024,31-33,Manufacturing,245,10891726,855,4
16081,Teton County,ID,2024,31-33,Manufacturing,9651,760880612,1516,565
16083,Twin Falls County,ID,2024,31-33,Manufacturing,7205,527572429,1408,371
16085,Valley County,ID,2024,31-33,Manufacturing,5115,345807945,1300,228
16087,Washington County,ID,2024,31-33,Manufacturing,3380,209526787,1192,127
17001,Adams County,IL,2024,31-33,Manufacturing,2064,114070496,1063,60
17003,Alexander County,IL,2024,31-33,Manufacturing,949,47118087,955,21
17005,Bond County,IL,2024,31-33,Manufacturing,248,10920379,847,4
17007,Boone County,IL,2024,31-33,Manufacturing,11030,864943093,1508,640
17009,Brown County,IL,2024,31-33,Manufacturing,8209,597622277,1400,419
17011,Bureau County,IL,2024,31-33,Manufacturing,5801,389736701,1292,255
17013,Calhoun County,IL,2024,31-33,Manufacturing,3808,234450703,1184,141
17015,Carroll County,IL,2024,31-33,Manufacturing,2228,124659884,1076,67
17017,Cass County,IL,2024,31-33,Manufacturing,1063,53506117,968,24
17019,Champaign County,IL,2024,31-33,Manufacturing,311,13907469,860,5
17021,Christian County,IL,2024,31-33,Manufacturing,11403,902001085,1521,671
17023,Clark County,IL,2024,31-33,Manufacturing,8530,626832365,1413,442
17025,Clay County,IL,2024,31-33,Manufacturing,6072,412101542,1305,272
17027,Clinton County,IL,2024,31-33,Manufacturing,4028,250753866,1197,152
17029,Coles County,IL,2024,31-33,Manufacturing,2399,135870328,1089,74
17031,Cook County,IL,2024,31-33,Manufacturing,1183,60356391,981,28
17033,Crawford County,IL,2024,31-33,Manufacturing,381,17298661,873,6
17035,Cumberland County,IL,2024,31-33,Manufacturing,11781,939968842,1534,704
17037,DeKalb County,IL,2024,31-33,Manufacturing,8858,657001262,1426,467
17039,De Witt County,IL,2024,31-33,Manufacturing,6350,435317401,1318,290
17041,Douglas County,IL,2024,31-33,Manufacturing,4256,267861824,1210,165
17043,DuPage County,IL,2024,31-33,Manufacturing,2575,147601565,1102,82
17045,Edgar County,IL,2024,31-33,Manufacturing,1309,67681234,994,32
17047,Edwards County,IL,2024,31-33,Manufacturing,456,21016160,886,8
17049,Effingham County,IL,2024,31-33,Manufacturing,18,728489,778,1
17051,Fayette County,IL,2024,31-33,Manufacturing,9193,688143349,1440,492
17053,Ford County,IL,2024,31-33,Manufacturing,6634,459329419,1332,309
17055,Franklin County,IL,2024,31-33,Manufacturing,4489,285600144,1224,177
17057,Fulton County,IL,2024,31-33,Manufacturing,2758,159979878,1115,90
17059,Gallatin County,IL,2024,31-33,Manufacturing,1441,75492973,1007,37
17061,Greene County,IL,2024,31-33,Manufacturing,538,25163783,899,10
17063,Grundy County,IL,2024,31-33,Manufacturing,49,2016662,791,1
17065,Hamilton County,IL,2024,31-33,Manufacturing,9533,720121925,1453,519
17067,Hancock County,IL,2024,31-33,Manufacturing,6923,484079999,1345,328
17069,Hardin County,IL,2024,31-33,Manufacturing,4728,304043405,1237,191
17071,Henderson County,IL,2024,31-33,Manufacturing,2947,172960956,1129,98
17073,Henry County,IL,2024,31-33,Manufacturing,1579,83803933,1021,42
17075,Iroquois County,IL,2024,31-33,Manufacturing,626,29708453,913,12
17077,Jackson County,IL,2024,31-33,Manufacturing,87,3640178,805,1
17079,Jasper County,IL,2024,31-33,Manufacturing,9879,753023486,1466,546
17081,Jefferson County,IL,2024,31-33,Manufacturing,7219,509720627,1358,348
17083,Jersey County,IL,2024,31-33,Manufacturing,4974,323268923,1250,205
17085,Jo Daviess County,IL,2024,31-33,Manufacturing,3142,186557126,1142,108
17087,Johnson County,IL,2024,31-33,Manufacturing,1724,92680199,1034,47
17089,Kane County,IL,2024,31-33,Manufacturing,720,34662495,926,15
17091,Kankakee County,IL,2024,31-33,Manufacturing,130,5528366,818,2
17093,Kendall County,IL,2024,31-33,Manufacturing,10232,786937268,1479,574
17095,Knox County,IL,2024,31-33,Manufacturing,7522,536265686,1371,369
17097,Lake County,IL,2024,31-33,Manufacturing,5225,343159726,1263,220
17099,LaSalle County,IL,2024,31-33,Manufacturing,3343,200780714,1155,117
17101,Lawrence County,IL,2024,31-33,Manufacturing,1875,102081707,1047,53
17103,Lee County,IL,2024,31-33,Manufacturing,820,40038234,939,17
17105,Livingston County,IL,2024,31-33,Manufacturing,180,7777917,831,3
17107,Logan County,IL,2024,31-33,Manufacturing,10591,821800057,1492,604
17109,McDonough County,IL,2024,31-33,Manufacturing,7830,563585597,1384,391
17111,McHenry County,IL,2024,31-33,Manufacturing,5483,363858809,1276,236
17113,McLean County,IL,2024,31-33,Manufacturing,3550,215644043,1168,128
17115,Macon County,IL,2024,31-33,Manufacturing,2031,111965655,1060,59
17117,Macoupin County,IL,2024,31-33,Manufacturing,927,45897509,952,20
17119,Madison County,IL,2024,31-33,Manufacturing,236,10359317,844,4
17121,Marion County,IL,2024,31-33,Manufacturing,10956,857624177,1505,634
17123,Marshall County,IL,2024,31-33,Manufacturing,8144,591763297,1397,414
17125,Mason County,IL,2024,31-33,Manufacturing,5747,385313504,1289,252
17127,Massac County,IL,2024,31-33,Manufacturing,3764,231220871,1181,138
17129,Menard County,IL,2024,31-33,Manufacturing,2194,122453940,1073,65
17131,Mercer County,IL,2024,31-33,Manufacturing,1039,52154305,965,24
17133,Monroe County,IL,2024,31-33,Manufacturing,298,13284892,857,5
17135,Montgomery County,IL,2024,31-33,Manufacturing,11327,894421955,1519,665
17137,Morgan County,IL,2024,31-33,Manufacturing,8465,620884457,1411,438
17139,Moultrie County,IL,2024,31-33,Manufacturing,6017,407536137,1303,269
17141,Ogle County,IL,2024,31-33,Manufacturing,3983,247401348,1195,150
17143,Peoria County,IL,2024,31-33,Manufacturing,2364,133560942,1086,72
17145,Perry County,IL,2024,31-33,Manufacturing,1158,58920658,978,27
17147,Piatt County,IL,2024,31-33,Manufacturing,366,16566966,870,6
17149,Pike County,IL,2024,31-33,Manufacturing,11704,932205717,1532,697
17151,Pope County,IL,2024,31-33,Manufacturing,8792,650889426,1424,462
17153,Pulaski County,IL,2024,31-33,Manufacturing,6293,430539035,1316,286
17155,Putnam County,IL,2024,31-33,Manufacturing,4209,264321344,1208,162
17157,Randolph County,IL,2024,31-33,Manufacturing,2539,145186675,1100,80
17159,Richland County,IL,2024,31-33,Manufacturing,1283,66159381,992,31
17161,Rock Island County,IL,2024,31-33,Manufacturing,441,20263816,884,8
17163,St. Clair County,IL,2024,31-33,Manufacturing,12,483999,776,1
17165,Saline County,IL,2024,31-33,Manufacturing,9125,681790529,1437,487
17167,Sangamon County,IL,2024,31-33,Manufacturing,6576,454403623,1329,305
17169,Schuyler County,IL,2024,31-33,Manufacturing,4441,281931755,1221,175
17171,Scott County,IL,2024,31-33,Manufacturing,2720,157399280,1113,88
17173,Shelby County,IL,2024,31-33,Manufacturing,1414,73882800,1005,36
17175,Stark County,IL,2024,31-33,Manufacturing,521,24296552,897,10
17177,Stephenson County,IL,2024,31-33,Manufacturing,42,1722756,789,1
17179,Tazewell County,IL,2024,31-33,Manufacturing,9464,713600093,1450,513
17181,Union County,IL,2024,31-33,Manufacturing,6864,479004711,1342,324
17183,Vermilion County,IL,2024,31-33,Manufacturing,4679,300244907,1234,188
17185,Wabash County,IL,2024,31-33,Manufacturing,2908,170269632,1126,97
17187,Warren County,IL,2024,31-33,Manufacturing,1551,82103240,1018,41
